Site,grupos,#dist,Cerianthus lloydi,Burrowing Anthozoa ind,Turbellaria ind,Nematoda ind,Aphrodita aculeata,Aphroditidae ind,Harmothoe castanea,Harmothoe sp,Stenhelais limicola,Pholoe inornata,Anaitides groenlandica,Eteone flava,Nereimyra punctata,Nephtys longosetosa,Nephtys caeca,Nephtys sp,Glycera alba,Goniada maculata,Glycinde nordmanni,Lumbrineris fragilis,Lumbrineris sp,Scoloplos armiger,Spiophanes bombyx,Spiophanes kroyeri,Pseudopolydora antennata,Minuspio cirrifera,Scolelepis tridentata,Apistobranchus tullbergi,Levinsenia gracilis,Aricidea simonae,Cirratulus cirratus,Chaetozone setosa,Caulleriella sp,Tharyx sp,Cirratulidae ind,Ophelina acuminata,Ophelia borealis,Nicomache lumbricalis,Maldane sarsi,Maldanidae ind,Myriochele sp,Owenia fusiformis,Lagis koreni,Amphictene auricoma,Ampharete baltica,Ampharete finmarchica,Ampharete lindstroemi,Ampharete sp,Amphitrite cirrata,Anobothrus gracilis,Amphicteis gunneri,Samytha sexcirrata,Trichobranchus roseus,Phascolion strombi,Nymphon gracile,Copepoda ind,Vaunthompsonia cristata,Eudorella trunculata,Eudorellopsis deformis,Campylaspis rubicunda,Hemilamprops rosea,Diastylis lucifera,Hippomedon denticulatus,Tmetonyx cicada,Anonyx lilljeborgi,Scopelocheirus hopei,Tryphosites longipes,Ampelisca macrocephala,Perioculodes longimanus,Argissa hamatipes,Byblis gaimardi,Synchelidium maculatum,Westwoodilla caecula,Bathyporeia gracilis,Photis reinhardi,Corophium affine,Corophium crassicorne,Euphausidacea ind,Euthemisto sp,Pagurus bernhardus,Chaetoderma nitidulum,Natica poliana,Lunatia montagui,Colus gracilis,Retusa umbilicata,Philine quadrata,Philine scabra,Coryphella verrucosa,Antalis entalis,Nuculoma tenuis,Musculus niger,Arctica islandica,Tridonta montagui,Thyasira flexuosa,Montacuta substriata,Mysella bidentata,Parvicardium sp,Acanthocardia echinata,Spisula elliptica,Chamelea gallina,Timoclea ovata,Mysia undata,Abra prismatica,Phaxas pellucidus,Mya truncata,Luidia sarsi,Phoronis sp,Astropecten irregularis,Asteroidea ind,Amphiura filiformis,Ophiura affinis,Ophiura sarsi,Ophiura sp,Spatangus purpureus,Echinocardium flavescens,Pleurogonidae ind,Gattyana cirrosa,Magelona filiformis,Anomiidae sp,Tellimya feruginosa,Harmothoe fragilis,Eteone longa,Amphitritides gracilis,Lysilla loveni,Laonome kroyeri,Jassa marmorata,Jassa sp,Ampelisca brevicornis,Nothria conchylega,Virgularia mirabilis,Ophelina modesta,Paramphinome jeffreysi,Nephtys hombergi,Thyasira gouldii,Nereis zonata,Hyas coarctatus,Aonides paucibranchiata,Graphis albida,Spio filicornis,Golfingia sp,Chaetoporia nilssoni,Onchnesoma squamatum,Odostomia sp,Dosinia lupinus,Harmothoe impar,Eunicidae ind,Lysippides fragilis,Lucinoma borealis,Amphilocus spencebatei,Chone duneri,Neoamphitrite grayi,Alcyonium digitatum,Eulalia viridis,Hirudinea ind,Diastylis laevis,Tryphosella nanoides,Campylaspis costata,Menigrates sp,Prosobranch sp,Bivalvia ind,Capitella capitata,Idotea pelagica,Doridae ind,Parvicardium scabrum,Ophryotrocha sp,Diplocirrus glaucus,Eulalia trilineata,Mytilus edulis,Polychaeta ind,Cylichna cylindracea,Molgula sp,Eudorella emarginata,Nuculana minuta
S1,c,4,0,1,0,1,0,0,3,0,10,7,1,0,0,10,0,4,0,34,0,2,0,10,2,0,0,4,1,0,0,2,1,1,2,0,0,0,3,1,0,4,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,31,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,3,0,3,0,18,2,0,0,0,3,0,0,37,2,0,0,1,0,3,7,1,0,6,0,4,1,4,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S7,c,4,1,1,0,1,0,0,3,0,6,9,0,0,1,17,1,1,1,30,0,1,1,5,8,0,0,7,1,0,2,0,1,0,0,3,0,0,3,0,0,0,3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,20,0,0,0,0,1,0,0,2,6,0,0,0,1,5,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,1,0,0,2,1,6,1,0,0,0,1,1,0,30,1,0,0,6,0,7,16,7,0,9,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S12,c,4,0,3,0,0,0,0,0,0,2,6,0,0,0,17,1,2,3,42,0,0,3,4,0,0,0,23,1,0,1,0,0,3,0,0,0,0,1,0,0,1,32,4,0,3,5,4,1,0,1,2,0,0,2,0,0,0,0,0,16,0,2,0,0,0,3,0,0,19,0,0,0,1,0,0,0,0,4,0,0,0,10,0,2,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,22,0,3,0,1,1,12,7,0,8,17,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S20,c,4,0,2,0,3,0,0,2,0,13,1,0,0,0,13,0,1,0,38,0,0,0,3,1,0,0,4,0,0,3,0,3,2,0,0,0,0,1,0,0,1,3,3,1,1,4,0,0,0,0,1,0,0,1,0,0,2,0,0,11,0,0,0,0,0,1,0,2,6,0,0,0,1,0,0,1,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,3,1,10,0,0,0,1,0,0,0,16,0,0,0,0,0,1,6,1,0,16,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S17,c,4,1,3,0,0,0,1,3,0,8,6,1,0,1,1,2,1,1,32,0,0,0,1,1,0,0,4,0,0,4,0,0,2,0,0,0,0,0,0,0,1,3,0,0,1,1,0,0,0,0,3,0,0,0,0,0,4,0,0,10,0,2,0,0,1,0,0,0,9,0,0,0,0,0,1,1,0,1,0,0,0,0,3,0,0,0,0,2,0,0,1,0,0,3,0,17,0,0,0,1,0,0,0,19,2,0,0,1,1,1,7,9,0,8,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S11,c,4,0,3,0,0,0,0,1,0,5,6,1,0,0,11,2,1,2,22,0,0,0,3,2,2,0,9,0,0,5,0,0,0,0,0,5,1,0,0,0,0,17,0,0,1,2,0,0,0,0,1,0,0,0,0,0,4,0,0,10,0,0,0,0,0,0,0,1,9,0,0,0,1,3,0,1,0,6,0,0,0,6,0,2,0,0,0,1,0,1,3,0,1,5,1,1,2,0,0,0,0,0,0,27,1,0,0,2,1,2,4,10,0,17,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S6,a,4,0,0,0,1,0,0,3,0,11,1,1,0,0,10,2,1,0,45,0,1,0,8,17,1,1,4,0,0,4,0,1,2,0,2,0,0,2,0,0,0,1,1,0,1,2,0,0,0,0,1,0,0,1,0,0,0,0,0,11,1,1,0,0,1,0,0,1,5,1,0,0,1,1,0,0,0,1,0,0,0,7,0,0,1,0,1,1,0,1,2,1,0,2,1,18,1,0,0,1,0,0,0,35,3,0,0,0,0,1,7,1,0,9,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S16,c,4,1,2,1,0,0,0,2,0,6,5,0,0,0,11,1,0,0,28,0,1,0,4,1,0,1,6,0,0,2,0,0,2,1,1,2,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,10,0,1,0,0,0,0,0,1,14,0,0,0,1,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,2,0,11,0,0,0,0,0,0,0,22,0,0,0,1,0,4,4,7,0,17,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S10,c,4,1,4,0,0,0,0,0,0,7,6,1,0,0,13,1,2,1,20,0,0,0,8,6,1,0,10,0,0,2,2,0,0,0,1,4,0,1,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,15,0,1,0,0,0,0,0,1,16,2,0,0,0,1,1,0,0,8,0,0,0,7,0,0,0,0,0,0,0,1,1,4,1,5,1,2,2,0,0,1,0,0,0,25,1,0,0,3,0,1,13,21,1,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S5,c,4,1,1,0,1,0,0,1,0,6,5,1,0,1,12,4,0,0,33,0,0,0,4,10,1,0,11,0,0,0,0,1,5,1,0,1,0,0,0,0,3,6,1,0,0,3,2,0,0,0,3,0,1,1,0,0,3,0,0,11,1,0,0,0,3,0,20,0,7,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,2,1,4,0,4,1,0,0,5,0,0,0,0,0,0,0,16,2,0,0,2,1,1,16,0,0,14,0,3,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
